sentence,topic_predicted,label
"If teens can access contraceptives without parental consent, they should be able to make the same decision about an abortion on their own","mandatory contraception for all minors,",support
"If teens can access contraceptives without parental consent, they should be able to make the same decision about an abortion on their own",abortion,against
Software allowing the evasion of censorship and concealment of identity online is inexpensive and can have a far reach.,software that masks a users IP,support
Software allowing the evasion of censorship and concealment of identity online is inexpensive and can have a far reach.,censorship,against
"""Feel-good factor"" can be national.",a feel-good factor being,support
"""Feel-good factor"" can be national.",a feel-good factor,against
Banning Junk Food In Schools Could Decrease The Frequency Of Heart Disease,junk food being banned in schools,support
Banning Junk Food In Schools Could Decrease The Frequency Of Heart Disease,healthy food in schools,against
Tribunals are adequate replacements that maintain respect for detainees' rights.,tribunals,support
Tribunals are adequate replacements that maintain respect for detainees' rights.,closing them,against
"Even if banned, child performers would still be hired, although now without protection.",child performers being hired without protection,support
"Even if banned, child performers would still be hired, although now without protection.",banning child performers,against
High speed rail travel is green.,high speed rail,support
High speed rail travel is green.,high speed rail,against
More exposure comes from playoffs.,teams making the playoffs,support
More exposure comes from playoffs.,expanding the playoffs,against
Cloning should be acceptable if people cannot have children.,cloning humans,support
Cloning should be acceptable if people cannot have children.,cloning,against
Harmful speech needs to be filtered,censorship,support
Harmful speech needs to be filtered,free speech,against
Unfair to apply same patent laws universally,country-specific patent laws,support
Unfair to apply same patent laws universally,universal patent protection,against
Sanctions won't work,a military strike,support
Sanctions won't work,sanctions,against
Rich countries recruiting medical personnel from poorer countries is a setback for human rights.,equal opportunities for all,support
Rich countries recruiting medical personnel from poorer countries is a setback for human rights.,rich countries recruiting medical personnel from,against
Regulation is Necessary for the Stabilization of Markets and Employment,government intervention in the economy,support
Regulation is Necessary for the Stabilization of Markets and Employment,deregulation,against
African cities face the threat of violence because of force eviction.,force eviction,support
African cities face the threat of violence because of force eviction.,forced eviction,against
Excersizing the option of negotiation avails more resources for the terrorist to make their stand.,negotiation as a means of gaining,support
Excersizing the option of negotiation avails more resources for the terrorist to make their stand.,negotiation,against
Gossip is not necessarily destructive,gossip,support
Gossip is not necessarily destructive,gossip,against
The economy needs educated people in order to do well in the future.,education,support
The economy needs educated people in order to do well in the future.,mandatory education,against
The graduated response policy is unconstitutional.,repealing it,support
The graduated response policy is unconstitutional.,a graduated response policy,against
Sixteen is too young to make decisions.,age determinism,support
Sixteen is too young to make decisions.,age determinism,against
violent video games decrease violence,video games being used to teach,support
violent video games decrease violence,violent video games,against
"Everyone wants to avoid an Arms Race, and an invasion could trigger just that outcome. ",a world wide ban on nuclear,support
"Everyone wants to avoid an Arms Race, and an invasion could trigger just that outcome. ",arming our allies,against
The big problem is not due to lack of access to birth control.,contraception and abortion,support
The big problem is not due to lack of access to birth control.,providing birth control as a means,against
Equality in the sexes is of vital importance.,feminism,support
Equality in the sexes is of vital importance.,gender equality,against
Why a flat tax is fairer,a flat tax,support
Why a flat tax is fairer,a progressive tax,against
The right to life means a right to death,euthanasia,support
